Name,Year,Age,Major,Degree,Living Condition,GPA,Passing
Jeff,Sophomore,64,Journalism,BS,At home,33,yes
Hugh,Senior,81,Graphic Design,BS,Apartment,4,no
Gloria,Senior,55,Journalism,BA,At home,38,yes
Daniel,Sophomore,87,Business,BA,Apartment,0,no
Tori,Sophomore,9,English,BA,House,84,yes
Taylor,Freshman,2,Graphic Design,BA,Apartment,67,yes
John,Freshman,55,Spanish,BA,Apartment,65,yes
Liz,Senior,51,Computer Science,BA,Apartment,80,yes
Liz,Senior,6,Computer Science,BA,House,96,yes
Emily,Junior,100,Computer Science,BS,Apartment,33,yes
Taylor,Freshman,43,History Education,BA,Apartment,75,yes
Jeff,Freshman,49,History Education,BS,At home,40,yes
Taylor,Freshman,13,Journalism,BS,House,52,yes
Ellie,Junior,81,English,BA,House,21,yes
Mary,Freshman,15,Journalism,BS,Dorm,47,yes
Mary,Junior,89,Math,BA,House,17,no
